latitude,longitude,description,"location_description","primary_type"
"42.016210833","-87.684263748","DOMESTIC BATTERY SIMPLE",APARTMENT,BATTERY
"41.926939485","-87.724397713","TO VEHICLE",STREET,"CRIMINAL DAMAGE"
"41.65816659","-87.548366075","AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON",RESIDENCE,BATTERY
"41.705722223","-87.669231914",SIMPLE,RESIDENCE,ASSAULT
"41.883780892","-87.671812677","PRO EMP HANDS NO/MIN INJURY","CHA PARKING LOT/GROUNDS",ASSAULT
"41.779307977","-87.674442028","TO LAND",RESTAURANT,"CRIMINAL TRESPASS"
"41.734885649","-87.545776576","DOMESTIC BATTERY SIMPLE",APARTMENT,BATTERY
"41.777577536","-87.615558035","TO PROPERTY",APARTMENT,"CRIMINAL DAMAGE"
"41.766005988","-87.684500868",SIMPLE,ALLEY,ASSAULT
"41.737275576","-87.648517108",SIMPLE,STREET,BATTERY
"41.806159473","-87.643819065","TO VEHICLE",APARTMENT,"CRIMINAL DAMAGE"
"41.891069066","-87.701941935","POSS: HEROIN(WHITE)",STREET,NARCOTICS
"41.891678767","-87.627551654","THEFT OF LABOR/SERVICES","PARKING LOT/GARAGE(NON.RESID.)","DECEPTIVE PRACTICE"
"41.861856095","-87.716506125","DOMESTIC BATTERY SIMPLE",STREET,BATTERY
"41.707400588","-87.60820168",SIMPLE,SIDEWALK,BATTERY
"41.892241814","-87.748773155",AUTOMOBILE,STREET,"MOTOR VEHICLE THEFT"
"41.997988611","-87.703325202","FROM BUILDING","RESIDENCE PORCH/HALLWAY",THEFT
"41.730046419","-87.553675621","DOMESTIC BATTERY SIMPLE",APARTMENT,BATTERY
"41.997744374","-87.688987457",SIMPLE,SIDEWALK,BATTERY
"41.765157518","-87.620069455","AGGRAVATED: OTHER DANG WEAPON",STREET,BATTERY
"41.746695773","-87.625704591","FORCIBLE ENTRY",RESIDENCE,BURGLARY
"41.991404284","-87.656853651",SIMPLE,APARTMENT,BATTERY
"41.843670721","-87.705017532",SIMPLE,APARTMENT,BATTERY
"41.756016699","-87.649941511","RECKLESS CONDUCT",STREET,"PUBLIC PEACE VIOLATION"
"41.70388614","-87.564454179","AGGRAVATED: HANDGUN",STREET,BATTERY
"41.919790638","-87.661865485","TO LAND","GROCERY FOOD STORE","CRIMINAL TRESPASS"
"41.798833408","-87.663496435",SIMPLE,"RESIDENCE PORCH/HALLWAY",BATTERY
"41.969143534","-87.650856378","DOMESTIC BATTERY SIMPLE",APARTMENT,BATTERY
"41.751394427","-87.654424881","UNLAWFUL USE HANDGUN",STREET,"WEAPONS VIOLATION"
"41.993228887","-87.689735615",SIMPLE,"PARKING LOT/GARAGE(NON.RESID.)",BATTERY
"41.883824705","-87.624424838","OVER $500",STREET,THEFT
"41.843607928","-87.638833307",AUTOMOBILE,RESIDENCE,"MOTOR VEHICLE THEFT"
"41.895140898","-87.624255632","RETAIL THEFT","SMALL RETAIL STORE",THEFT
"41.977281854","-87.836609734","TO VEHICLE","PARKING LOT/GARAGE(NON.RESID.)","CRIMINAL DAMAGE"
"41.931711045","-87.778416079",AUTOMOBILE,STREET,"MOTOR VEHICLE THEFT"
"41.953297273","-87.667473173","$500 AND UNDER",STREET,THEFT
"41.877470199","-87.678222877","AGGRAVATED: HANDGUN","CTA BUS",ASSAULT
"41.766617035","-87.674212669","DOMESTIC BATTERY SIMPLE",SIDEWALK,BATTERY
"41.960227513","-87.786114072","CREDIT CARD FRAUD","SMALL RETAIL STORE","DECEPTIVE PRACTICE"
"41.764767221","-87.586292528","RETAIL THEFT","CONVENIENCE STORE",THEFT
"41.722383615","-87.581996008","AGGRAVATED: OTHER DANG WEAPON",STREET,"CRIM SEXUAL ASSAULT"
"41.726864495","-87.599743987","DOMESTIC BATTERY SIMPLE",ALLEY,BATTERY
"41.907824652","-87.745750846","AGGRAVATED: OTHER DANG WEAPON",STREET,ASSAULT
"41.957146629","-87.698337863","PUBLIC INDECENCY","PARK PROPERTY","SEX OFFENSE"
"41.762642477","-87.634601224","UNLAWFUL USE/SALE AIR RIFLE",STREET,"WEAPONS VIOLATION"
"41.859044827","-87.70867744","UNLAWFUL POSS AMMUNITION",STREET,"WEAPONS VIOLATION"
"41.87811568","-87.754982715","VIOLATE ORDER OF PROTECTION","RESIDENCE PORCH/HALLWAY","OTHER OFFENSE"
"41.9813162","-87.695118674","TO RESIDENCE",OTHER,"CRIMINAL TRESPASS"
"41.722785017","-87.594808559","CYCLE, SCOOTER, BIKE W-VIN",STREET,"MOTOR VEHICLE THEFT"
"41.936541814","-87.642511945",SIMPLE,"NURSING HOME/RETIREMENT HOME",BATTERY
"41.998891865","-87.665533842","$500 AND UNDER",STREET,THEFT
"41.718403206","-87.570987858","GUN OFFENDER: DUTY TO REPORT CHANGE OF INFORMATION",STREET,"OTHER OFFENSE"
"41.788506688","-87.652299026","DOMESTIC BATTERY SIMPLE",RESIDENCE,BATTERY
"41.831676098","-87.616975751","DOMESTIC BATTERY SIMPLE",SIDEWALK,BATTERY
"41.742073788","-87.553944196",SIMPLE,ALLEY,BATTERY
"41.813888451","-87.64445883",AUTOMOBILE,STREET,"MOTOR VEHICLE THEFT"
"41.906684967","-87.635303024","OVER $500","PARKING LOT/GARAGE(NON.RESID.)",THEFT
"41.968569215","-87.694102327","TO LAND","BAR OR TAVERN","CRIMINAL TRESPASS"
"41.884099072","-87.675129172","TO VEHICLE",STREET,"CRIMINAL DAMAGE"
"41.677927829","-87.631403865",SIMPLE,"GROCERY FOOD STORE",BATTERY
"41.764584136","-87.643010792",SIMPLE,APARTMENT,ASSAULT
"41.852861719","-87.624484216","RETAIL THEFT","CONVENIENCE STORE",THEFT
"41.750930431","-87.626182138","MANU/DEL:CANNABIS OVER 10 GMS","CTA STATION",NARCOTICS
"41.717518825","-87.662872699",SIMPLE,RESIDENCE,ASSAULT
"41.844527492","-87.704117325",SIMPLE,"PARKING LOT/GARAGE(NON.RESID.)",BATTERY
"41.944472927","-87.797158563","$500 AND UNDER",RESIDENCE,THEFT
"41.953353003","-87.75254576","AGGRAVATED: OTHER FIREARM",STREET,ASSAULT
"41.779676534","-87.602871055","CREDIT CARD FRAUD",APARTMENT,"DECEPTIVE PRACTICE"
"41.736930322","-87.62417403","UNLAWFUL POSS OF HANDGUN",STREET,"WEAPONS VIOLATION"
"41.881042228","-87.756307677","POSS: HEROIN(WHITE)",SIDEWALK,NARCOTICS
"41.883991885","-87.677979988",SIMPLE,STREET,BATTERY
"41.868289736","-87.700069758","MANU/DELIVER:CRACK",SIDEWALK,NARCOTICS
"41.732106037","-87.603608111","AGGRAVATED: HANDGUN",STREET,ASSAULT
"41.751186865","-87.610937716","DOMESTIC BATTERY SIMPLE",STREET,BATTERY
"41.887238537","-87.763964185","POSS: CANNABIS 30GMS OR LESS",OTHER,NARCOTICS
"41.77999793","-87.629294594",SIMPLE,STREET,ASSAULT
"41.876200619","-87.723759687","OVER $500",STREET,THEFT
"41.895477828","-87.628167289","OVER $500",SIDEWALK,THEFT
"41.905747373","-87.633652789","OVER $500",STREET,THEFT
"41.774394267","-87.727532833","$500 AND UNDER",STREET,THEFT
"41.77924593","-87.684272098","FORCIBLE ENTRY","SMALL RETAIL STORE",BURGLARY
"41.793981982","-87.591655814",AUTOMOBILE,STREET,"MOTOR VEHICLE THEFT"
"41.83977509","-87.725646822",AUTOMOBILE,"SCHOOL, PUBLIC, GROUNDS","MOTOR VEHICLE THEFT"
"41.7816858","-87.704537748","$500 AND UNDER",STREET,THEFT
"41.723086214","-87.619011075","$500 AND UNDER",STREET,THEFT
"41.907643816","-87.709390485","AGGRAVATED: HANDGUN",SIDEWALK,BATTERY
"41.98365114","-87.65858349",SIMPLE,"GROCERY FOOD STORE",BATTERY
"41.686381699","-87.615620727",SIMPLE,APARTMENT,BATTERY
"41.873788373","-87.696938572","LIQUOR LICENSE VIOLATION","BAR OR TAVERN","LIQUOR LAW VIOLATION"
"41.879601194","-87.739028873","OVER $500","RESIDENCE-GARAGE",THEFT
"41.895513492","-87.710761053",SIMPLE,STREET,BATTERY
"41.837879307","-87.608414956",SIMPLE,STREET,ASSAULT
"41.875832183","-87.710838276","POSS: CANNABIS 30GMS OR LESS",SIDEWALK,NARCOTICS
"41.885490531","-87.726469758","POSS: HEROIN(WHITE)",SIDEWALK,NARCOTICS
"41.899904735","-87.726223101","UNLAWFUL POSS OF HANDGUN",SIDEWALK,"WEAPONS VIOLATION"
"41.735335992","-87.663053811","TO VEHICLE",STREET,"CRIMINAL DAMAGE"
"41.721649302","-87.629419063","AGGRAVATED: HANDGUN","CHA PARKING LOT/GROUNDS",ASSAULT
"41.859042781","-87.708805941","POSS: HEROIN(WHITE)",STREET,NARCOTICS
"41.73527097","-87.66792005","AGGRAVATED: HANDGUN","BAR OR TAVERN",BATTERY
"41.772561512","-87.583841227","AGGRAVATED: HANDGUN",SIDEWALK,BATTERY
"41.909982386","-87.630167866","TO VEHICLE",STREET,"CRIMINAL DAMAGE"
"41.81512646","-87.666371443","AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON",APARTMENT,BATTERY
"41.709370116","-87.689117597","HARASSMENT BY TELEPHONE",RESIDENCE,"OTHER OFFENSE"
"41.750744127","-87.599105692","$500 AND UNDER",APARTMENT,THEFT
"41.786341","-87.697716131","$500 AND UNDER",ALLEY,THEFT
"41.896809312","-87.748984945",AUTOMOBILE,STREET,"MOTOR VEHICLE THEFT"
"41.805136977","-87.751648936","FROM BUILDING","CHURCH/SYNAGOGUE/PLACE OF WORSHIP",THEFT
"41.808614751","-87.664091468","RESIST/OBSTRUCT/DISARM OFFICER",STREET,"INTERFERENCE WITH PUBLIC OFFICER"
"41.796216157","-87.723245665","RETAIL THEFT","GROCERY FOOD STORE",THEFT
"41.742047408","-87.610791","UNLAWFUL POSS OF HANDGUN",STREET,"WEAPONS VIOLATION"
"41.769781462","-87.667592849","UNLAWFUL POSS OF HANDGUN",RESIDENCE,"WEAPONS VIOLATION"
"41.677901329","-87.633809147","FORCIBLE ENTRY","COMMERCIAL / BUSINESS OFFICE",BURGLARY
"41.899819111","-87.718895829","SOLICIT NARCOTICS ON PUBLICWAY",STREET,NARCOTICS
"41.82459306","-87.695646558","DOMESTIC BATTERY SIMPLE",STREET,BATTERY
"41.992175988","-87.710287127","AGGRAVATED VEHICULAR HIJACKING","PARKING LOT/GARAGE(NON.RESID.)",ROBBERY
"41.837758549","-87.723152173","UNLAWFUL POSS OF HANDGUN",STREET,"WEAPONS VIOLATION"
"41.942279965","-87.640689369","FOUND SUSPECT NARCOTICS",APARTMENT,NARCOTICS
"41.861566075","-87.731148997","POSS: CRACK",SIDEWALK,NARCOTICS
"41.790628946","-87.603729472","AGG PO HANDS NO/MIN INJURY",SIDEWALK,BATTERY
"41.919951937","-87.651516758","TO VEHICLE",STREET,"CRIMINAL DAMAGE"
"41.739004946","-87.64491897","AGGRAVATED: OTHER DANG WEAPON","PARK PROPERTY",ASSAULT
"41.86772377","-87.71302432",AUTOMOBILE,STREET,"MOTOR VEHICLE THEFT"
"41.985685056","-87.743891534",AUTOMOBILE,STREET,"MOTOR VEHICLE THEFT"
"41.833426527","-87.610340275","CRIMINAL DEFACEMENT",STREET,"CRIMINAL DAMAGE"
"41.922852285","-87.773249265",SIMPLE,RESIDENCE,ASSAULT
"41.78421321","-87.643324599","TO PROPERTY",RESIDENCE,"CRIMINAL DAMAGE"
"41.813232981","-87.632279875","FORCIBLE ENTRY",RESIDENCE,BURGLARY
"41.910348427","-87.685388756","OVER $500","VEHICLE NON-COMMERCIAL",THEFT
"41.883913644","-87.684499138",SIMPLE,"PARK PROPERTY",ASSAULT
"41.873877771","-87.760300886","AGGRAVATED: HANDGUN",STREET,ASSAULT
"41.853147494","-87.671930218","UNLAWFUL POSS OF HANDGUN",STREET,"WEAPONS VIOLATION"
"41.726442728","-87.585403225","TO VEHICLE",STREET,"CRIMINAL TRESPASS"
"41.688993133","-87.655659851",SIMPLE,"PARK PROPERTY",BATTERY
"41.779924856","-87.73134514","$500 AND UNDER",SIDEWALK,THEFT
"41.808634077","-87.645527495","RETAIL THEFT","SMALL RETAIL STORE",THEFT
"41.899468255","-87.620218669","TELEPHONE THREAT","HOTEL/MOTEL","OTHER OFFENSE"
"41.751347407","-87.700513186","TO PROPERTY",RESIDENCE,"CRIMINAL DAMAGE"
"41.784366527","-87.665553679","POSSESSION OF DRUG EQUIPMENT",ALLEY,NARCOTICS
"41.884497529","-87.625838595","$500 AND UNDER",OTHER,THEFT
"41.893634419","-87.715469556","MANU/DELIVER: HEROIN (WHITE)",ALLEY,NARCOTICS
"41.721623049","-87.624701342","AGGRAVATED: OTHER DANG WEAPON","CTA TRAIN",ASSAULT
"41.904329662","-87.667996915","RETAIL THEFT","SMALL RETAIL STORE",THEFT
"41.873907046","-87.725430093","THEFT OF LABOR/SERVICES","CTA STATION","DECEPTIVE PRACTICE"
"41.897191683","-87.726931989",SIMPLE,STREET,BATTERY
"41.857413243","-87.693944063","AGGRAVATED: HANDGUN","RESIDENCE PORCH/HALLWAY",ASSAULT
"41.862491727","-87.70718647","AGGRAVATED: HANDGUN",OTHER,ASSAULT
"41.800549079","-87.589115504","FROM BUILDING",RESTAURANT,THEFT
"41.979759592","-87.673644758","TO VEHICLE",STREET,"CRIMINAL DAMAGE"
"41.885309786","-87.667599365","OVER $500",SIDEWALK,THEFT
"41.852570602","-87.71364792","TO VEHICLE",STREET,"CRIMINAL DAMAGE"
"41.804133114","-87.703859846","$500 AND UNDER","CTA STATION",THEFT
"41.880244458","-87.687396824","DOMESTIC BATTERY SIMPLE",STREET,BATTERY
"41.873907046","-87.725430093","TO STATE SUP LAND","CTA STATION","CRIMINAL TRESPASS"
"42.009383819","-87.777425072","TO VEHICLE",STREET,"CRIMINAL DAMAGE"
"41.905451295","-87.719084282","UNLAWFUL USE HANDGUN",STREET,"WEAPONS VIOLATION"
"41.791894874","-87.624015886","UNLAWFUL USE HANDGUN",ALLEY,"WEAPONS VIOLATION"
"41.883699417","-87.679147095",SIMPLE,STREET,BATTERY
"41.707160552","-87.623823775","TO LAND","CONVENIENCE STORE","CRIMINAL TRESPASS"
"41.750563007","-87.580029376","OTHER VEHICLE OFFENSE",STREET,"OTHER OFFENSE"
"41.725679409","-87.606292755","AGGRAVATED: HANDGUN",STREET,ASSAULT
"41.880501243","-87.633792406","$500 AND UNDER","CTA PLATFORM",THEFT
"41.756161959","-87.626326287","OVER $500","GAS STATION",THEFT
"41.876607964","-87.627644063","OVER $500",LIBRARY,THEFT
"41.995457582","-87.689808807",SIMPLE,SIDEWALK,BATTERY
"41.687904046","-87.648323378","VIOLATE ORDER OF PROTECTION",SIDEWALK,"OTHER OFFENSE"
"41.74953885","-87.561344405","TO VEHICLE",STREET,"CRIMINAL DAMAGE"
"41.775268726","-87.672591663",SIMPLE,SIDEWALK,ASSAULT
"41.703037478","-87.619657812","DOMESTIC BATTERY SIMPLE","VEHICLE NON-COMMERCIAL",BATTERY
"41.982161273","-87.668500261","TO VEHICLE","PARKING LOT/GARAGE(NON.RESID.)","CRIMINAL DAMAGE"
"41.87227952","-87.629307199","OVER $500",STREET,THEFT
"41.9424931","-87.745870057","TO PROPERTY","RESIDENCE PORCH/HALLWAY","CRIMINAL DAMAGE"
"41.86847329","-87.639232432",SIMPLE,"SMALL RETAIL STORE",ASSAULT
"41.909139303","-87.648226263","RETAIL THEFT","SMALL RETAIL STORE",THEFT
"41.798047561","-87.720848148","TELEPHONE THREAT",OTHER,"OTHER OFFENSE"
"41.778790073","-87.670282407","$500 AND UNDER",STREET,THEFT
"41.883058033","-87.682179581",SIMPLE,SIDEWALK,BATTERY
"41.793183151","-87.670632818","UNLAWFUL ENTRY",APARTMENT,BURGLARY
"41.768345277","-87.64325273",AUTOMOBILE,STREET,"MOTOR VEHICLE THEFT"
"41.777393312","-87.686666494","CRIMINAL DEFACEMENT",APARTMENT,"CRIMINAL DAMAGE"
"41.865493866","-87.717833196","MANU/DEL:CANNABIS OVER 10 GMS",SIDEWALK,NARCOTICS
"41.909407249","-87.667653962","RETAIL THEFT",OTHER,THEFT
"41.879591091","-87.701162626","COUNTERFEITING DOCUMENT",STREET,"DECEPTIVE PRACTICE"
"41.891404732","-87.628061509","CREDIT CARD FRAUD","CTA TRAIN","DECEPTIVE PRACTICE"
"41.891404732","-87.628061509","POCKET-PICKING","CTA TRAIN",THEFT
"41.810811587","-87.740798607","CRIMINAL DEFACEMENT",RESIDENCE,"CRIMINAL DAMAGE"
"41.861525594","-87.725029766","GUN OFFENDER: DUTY TO REGISTER",STREET,"OTHER OFFENSE"
"41.705677083","-87.63793934","UNLAWFUL POSS OF HANDGUN",RESIDENCE,"WEAPONS VIOLATION"
"41.873907046","-87.725430093","TO STATE SUP LAND","CTA STATION","CRIMINAL TRESPASS"
"41.893541578","-87.629701805","OVER $500","CONSTRUCTION SITE",THEFT
"41.988719229","-87.668384208",SIMPLE,OTHER,BATTERY
"41.829651528","-87.614451899","PRO EMP HANDS NO/MIN INJURY","RESIDENCE PORCH/HALLWAY",ASSAULT
"41.747222066","-87.600219523",SIMPLE,SIDEWALK,BATTERY
"41.886179873","-87.624523664","OVER $500",STREET,THEFT
"42.018505666","-87.695648552","TO VEHICLE",STREET,"CRIMINAL TRESPASS"
"41.936806279","-87.762027629","DOMESTIC BATTERY SIMPLE",APARTMENT,BATTERY
"41.750785006","-87.581661238","HARASSMENT BY ELECTRONIC MEANS",RESIDENCE,"OTHER OFFENSE"
"41.873644479","-87.754821081","AGGRAVATED: HANDGUN",APARTMENT,ASSAULT
"42.003611477","-87.697357279","OVER $500",STREET,THEFT
"41.792425533","-87.622403855",SIMPLE,SIDEWALK,BATTERY
"41.659135983","-87.609072738",SIMPLE,STREET,BATTERY
"41.906797102","-87.671861659",IMPERSONATION,"PARKING LOT/GARAGE(NON.RESID.)","DECEPTIVE PRACTICE"
"41.980365526","-87.668320337","SELL/GIVE/DEL LIQUOR TO MINOR","TAVERN/LIQUOR STORE","LIQUOR LAW VIOLATION"
"41.73690503","-87.648506389","TO PROPERTY","GAS STATION","CRIMINAL DAMAGE"
"41.968288338","-87.723691521","AGGRAVATED: HANDGUN",ALLEY,ASSAULT
"41.960806339","-87.64988278","$500 AND UNDER",STREET,THEFT
"42.00711743","-87.670006581",SIMPLE,APARTMENT,ASSAULT
"41.907926167","-87.64819515","STRONGARM - NO WEAPON","DEPARTMENT STORE",ROBBERY
"41.988105225","-87.703544047","DOMESTIC BATTERY SIMPLE",STREET,BATTERY
"41.722362598","-87.58382047","RETAIL THEFT","GROCERY FOOD STORE",THEFT
"41.721324303","-87.595975476",SIMPLE,STREET,ASSAULT
"41.742099153","-87.605510292","UNLAWFUL ENTRY",APARTMENT,BURGLARY
"41.900870422","-87.624184899",SIMPLE,OTHER,BATTERY
"41.943562261","-87.707742873","$500 AND UNDER",STREET,THEFT
"41.973336895","-87.653205626","FROM BUILDING",APARTMENT,THEFT
"41.964664116","-87.712588602",SIMPLE,APARTMENT,BATTERY
"41.769288767","-87.687041156","ILLEGAL USE CASH CARD",APARTMENT,"DECEPTIVE PRACTICE"
"41.867510227","-87.702037964","TO VEHICLE",STREET,"CRIMINAL DAMAGE"
"41.927458186","-87.690180312","FROM BUILDING","RESIDENCE PORCH/HALLWAY",THEFT
"41.743970443","-87.585797123","RETAIL THEFT","GAS STATION",THEFT
"41.699547402","-87.651411222","OVER $500",RESIDENCE,THEFT
"41.708439707","-87.624761908",SIMPLE,STREET,BATTERY
"41.875318865","-87.721535599","TELEPHONE THREAT",RESIDENCE,"OTHER OFFENSE"
"41.804847176","-87.624346184","FROM BUILDING","SCHOOL, PUBLIC, GROUNDS",THEFT
"41.761251959","-87.588433519",SIMPLE,STREET,ASSAULT
"41.894680512","-87.708973081","TO VEHICLE","SPORTS ARENA/STADIUM","CRIMINAL DAMAGE"
"42.020171252","-87.669488191","TELEPHONE THREAT",RESIDENCE,"OTHER OFFENSE"
"41.969674845","-87.657635196","DOMESTIC BATTERY SIMPLE","AUTO / BOAT / RV DEALERSHIP",BATTERY
"41.771504348","-87.587119835","AGG PO HANDS NO/MIN INJURY",SIDEWALK,BATTERY
"41.930993171","-87.786081037",SIMPLE,"CTA BUS STOP",BATTERY
"41.930998239","-87.785992793",SIMPLE,STREET,BATTERY
"41.810203248","-87.687994589","CREDIT CARD FRAUD",RESIDENCE,"DECEPTIVE PRACTICE"
"42.018760057","-87.673175567",SIMPLE,WAREHOUSE,BATTERY
"42.013606784","-87.69259913","DOMESTIC BATTERY SIMPLE",ALLEY,BATTERY
"41.764450931","-87.652883374","AGGRAVATED: HANDGUN",ALLEY,ASSAULT
"41.910214574","-87.697278585",SIMPLE,STREET,BATTERY
"41.88903432","-87.755383714","RESIST/OBSTRUCT/DISARM OFFICER",SIDEWALK,"INTERFERENCE WITH PUBLIC OFFICER"
"41.903710589","-87.643538216","RECKLESS FIREARM DISCHARGE",STREET,"WEAPONS VIOLATION"
"41.6883455","-87.613244774","PRO EMP HANDS NO/MIN INJURY",APARTMENT,ASSAULT
"41.870065094","-87.704032162","ATTEMPT FORCIBLE ENTRY",APARTMENT,BURGLARY
"41.790501754","-87.656472924","TO LAND",RESIDENCE,"CRIMINAL TRESPASS"
"41.762719954","-87.624846791",SIMPLE,"SCHOOL, PUBLIC, GROUNDS",ASSAULT
"41.782324589","-87.653358071","AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON",RESIDENCE,BATTERY
"41.762719954","-87.624846791",SIMPLE,"SCHOOL, PUBLIC, GROUNDS",ASSAULT
"41.804133114","-87.703859846","$500 AND UNDER",STREET,THEFT
"41.89301463","-87.629692897","FORCIBLE ENTRY","CONSTRUCTION SITE",BURGLARY
"41.681765972","-87.684923176","$500 AND UNDER","RESIDENTIAL YARD (FRONT/BACK)",THEFT
"41.939933359","-87.652568317","$500 AND UNDER","HOTEL/MOTEL",THEFT
"41.700441032","-87.537701543","UNLAWFUL ENTRY",RESIDENCE,BURGLARY
